Name,Original Price,Discount %,Product URL,Image URL
Women Lace-Up Sneakers Mid Tops,3188,15%,https://www.ajio.com/sole-mates-by-palak-women-lace-up-sneakers-mid-tops/p/701701374_copper?,
Men Smashic Soft Suede Sneakers,1710,62%,https://www.ajio.com/puma-men-smashic-soft-suede-sneakers/p/465654605_white?,
Air Max Alpha Lace-Up Training Shoes,8495,N/A,https://www.ajio.com/nike-air-max-alpha-lace-up-training-shoes/p/469763411_blackgrey?,
Women Embroidered Lace-Up Sneakers,3188,15%,https://www.ajio.com/sole-mates-by-palak-women-embroidered-lace-up-sneakers/p/701698484_copper?,
Run Defy Lace-Up Sports Shoes,2797,30%,https://www.ajio.com/nike-run-defy-lace-up-sports-shoes/p/469755813_blue?,
Air Force 1 '07 Lace-Up Sneakers,7495,N/A,https://www.ajio.com/nike-air-force-1-07-lace-up-sneakers/p/460886328_black?,
Women Embellished Lace-Up Sneakers,3188,15%,https://www.ajio.com/sole-mates-by-palak-women-embellished-lace-up-sneakers/p/701698491_copper?,
Men Promina Low-Top Training Shoes,3147,37%,https://www.ajio.com/nike-men-promina-low-top-training-shoes/p/469755781_smokeyblue?,https://assets.ajio.com/medias/sys_master/root/20250602/A2vG/683d8d3655340d4b4f7b7eb6/nike_smokey_blue_men_promina_low-top_training_shoes.jpg
Court Vision LO Low-Top Sneakers,5695,N/A,https://www.ajio.com/nike-court-vision-lo-low-top-sneakers/p/469615819_white?,https://assets.ajio.com/medias/sys_master/root/20240508/62KG/663b821f16fd2c6e6af3a5bd/nike_white_court_vision_lo_low-top_sneakers.jpg
Men Low-Top Lace-Up Sneakers,1350,82%,https://www.ajio.com/red-tape-men-low-top-lace-up-sneakers/p/700710447_white?,https://assets.ajio.com/medias/sys_master/root/20241106/QzVb/672b9d5c260f9c41e8c3d5d8/red_tape_white_%26_beige_men_low-top_lace-up_sneakers.jpg
Men Court Vision Lace-Up Sneakers,5695,N/A,https://www.ajio.com/nike-men-court-vision-lace-up-sneakers/p/469551574_white?,https://assets.ajio.com/medias/sys_master/root/20231030/vsJV/653fd0c6ddf77915196353f8/nike_white_men_court_vision_lace-up_sneakers.jpg
327 Panelled Lace-Up Sneakers,6999,30%,https://www.ajio.com/new-balance-327-panelled-lace-up-sneakers/p/460919138_seasalt?,https://assets.ajio.com/medias/sys_master/root/20240704/RFpz/668740851d763220faeb0509/new_balance_grey_327_panelled_lace-up_sneakers.jpg
Mens Majesty Sneakers,7999,N/A,https://www.ajio.com/puma-mens-majesty-sneakers/p/701938667_orange?,https://assets.ajio.com/medias/sys_master/root1/20250718/mTwm/687957b05d4cb413802dc17d/puma_warm_white-orange_poppy_mens_majesty_sneakers.jpg
Revolution 8 Running Shoes,4295,N/A,https://www.ajio.com/nike-revolution-8-running-shoes/p/469763462_green?,
Jordan Flight Court Lace-Up Sneakers,8695,N/A,https://www.ajio.com/nike-jordan-flight-court-lace-up-sneakers/p/469763440_brown?,
Men BMW MMS Inverse M4 Hero Lightweight Shoes,11999,N/A,https://www.ajio.com/puma-men-bmw-mms-inverse-m4-hero-lightweight-shoes/p/701814470_white?,
Men Low-Top Lace-Up Sneakers,1710,82%,https://www.ajio.com/red-tape-men-low-top-lace-up-sneakers/p/700710444_white?,
Promina Training Shoes,4995,N/A,https://www.ajio.com/nike-promina-training-shoes/p/469763421_blackgrey?,
Men Majesty Sneakers,7999,N/A,https://www.ajio.com/puma-men-majesty-sneakers/p/701938667_white?,
Women Sneakers Shoes,1134,82%,https://www.ajio.com/red-tape-women-sneakers-shoes/p/700700139_green?,
